日期,代號,名稱,動作,股數,價格,金額,費用稅,損益,原因
2026-07-15,SPY,美國S&P500,買進,2.068,24178.17,50000.0,50.0,,美股被動配置至目標 50%(初始建倉)
2026-07-15,QQQ,那斯達克100,買進,1.2944,23177.04,30000.0,30.0,,美股被動配置至目標 30%(初始建倉)
2026-07-15,VIG,美國股息成長,買進,2.6056,7637.03,19899.0,19.9,,美股被動配置至目標 20%(初始建倉)
