Date,SPY,QQQ,VIG
2006-06-01,2848.757800680003,1090.0189369858126,1070.0852572082658
2006-06-02,2843.1735152135516,1082.8725029873895,1064.041541172599
2006-06-05,2811.8154732408584,1063.1903668105952,1051.5592119377106
2006-06-06,2802.073162939865,1061.2754240791546,1047.9047337088705
2006-06-07,2798.260545730591,1059.8398361206055,1054.378186225891
2006-06-08,2821.8233358825964,1068.0297147278034,1064.6224098531384
2006-06-09,2803.341615639365,1057.4905700095842,1059.0717080957256
2006-06-12,2781.645563953498,1039.9609119760134,1053.2598648850399
2006-06-13,2760.576497470174,1040.0228494039038,1050.3523242794472
2006-06-14,2774.7394464326208,1047.900210556647,1051.9795550200215
2006-06-15,2828.3872473028023,1074.3231140587013,1067.014461798477
2006-06-16,2808.6388685425627,1066.751060592127,1065.6011179328198
2006-06-19,2790.8397598472366,1059.7516056850727,1057.6472243809694
2006-06-20,2800.5756271481805,1061.2421256344242,1059.2708350792673
2006-06-21,2824.022763492714,1078.989311685873,1067.9153163211886
2006-06-22,2812.3728976454004,1065.614497663555,1062.7532096246432
2006-06-23,2818.12557190191,1066.8467312917346,1063.1295165946358
2006-06-26,2836.639724233828,1071.9326154988084,1067.1183370535437
2006-06-27,2801.7478711510194,1047.871826042683,1055.9563515875197
2006-06-28,2820.0503001358593,1055.431538009987,1057.2290705214255
2006-06-29,2873.8423867051024,1086.3332094576326,1076.1708224494942
2006-06-30,2853.5327873735223,1073.311519438459,1067.179324936762
2006-07-03,2858.111847323453,1077.0109261303878,1067.5728155888646
2006-07-05,2848.649257659912,1056.0819749832153,1064.2925567626953
2006-07-06,2866.651607968379,1058.559280314541,1071.8275660672225
2006-07-07,2840.17826141321,1044.025556863984,1060.4232636047527
2006-07-10,2842.839401810488,1033.8936104134118,1063.313224585232
2006-07-11,2862.3590005736332,1044.1849445487605,1063.2989389705472
2006-07-12,2838.4391369397927,1026.8881373186305,1060.9949119381345
2006-07-13,2796.9996830851596,1011.355704724876,1052.0922253971366
2006-07-14,2794.468351330521,1004.0313860836322,1046.0281134175166
2006-07-17,2806.1960314720636,1012.2448272648035,1054.3729380011791
2006-07-18,2820.8726140116923,1015.739899965527,1055.1622192449868
2006-07-19,2865.581208775635,1030.9497831347908,1076.85624555104
2006-07-20,2830.2420506420312,1010.1326174919232,1063.223581423852
2006-07-21,2806.600459921843,998.1812946513528,1055.472159025143
2006-07-24,2870.5325148669654,1022.5781685269176,1073.8328224409488
2006-07-25,2875.856346547196,1026.7227066417545,1077.4962113438523
2006-07-26,2884.7207745526684,1027.665193865454,1077.1675642181071
2006-07-27,2877.429566401872,1019.3078854790656,1072.165399922873
2006-07-28,2908.92836732429,1041.5717565868763,1085.4657912775147
2006-07-31,2903.0516861823853,1040.2434586384625,1083.2758281796705
2006-08-01,2894.2963028672675,1024.825472362194,1077.6499758490681
2006-08-02,2917.8527712837677,1037.762527722065,1085.2999450498028
2006-08-03,2926.932906577131,1044.708874864591,1088.4419400840125
2006-08-04,2909.047083940881,1035.3428279163636,1081.6706560171297
2006-08-07,2909.325107476907,1031.1295399451774,1083.8705017173197
2006-08-08,2895.002008985466,1023.5465735566977,1076.9644555771665
2006-08-09,2881.36314396371,1023.5744220093256,1066.5161059015663
2006-08-10,2875.659616265766,1025.6692382721303,1070.3241846495075
2006-08-11,2874.128385909309,1020.7632577469194,1071.4720232503605
2006-08-14,2881.4079343331978,1029.2618346391246,1075.9741001930088
2006-08-15,2916.5770589087333,1055.5524233591132,1088.746107121333
2006-08-16,2940.031074817525,1080.1744879758626,1096.5640918882564
2006-08-17,2937.695680918987,1080.482951261627,1096.4122361370828
2006-08-18,2954.6888805325725,1082.920031612448,1096.9660188258858
2006-08-21,2945.4525796211965,1073.8390224102623,1094.9562154090963
2006-08-22,2953.064845430199,1076.9773181682103,1097.2116407044814
2006-08-23,2944.8948501233826,1068.8500819957699,1090.4024360951735
2006-08-24,2947.7841378930607,1073.894883596833,1095.4796768868982
2006-08-25,2958.1641167623166,1078.3179691672267,1097.9819401377608
2006-08-28,2972.6537362718955,1086.6106633271556,1106.4982566423714
2006-08-29,2972.183575844101,1088.563292342078,1108.5772543318308
2006-08-30,2976.5375704169855,1094.5539541771723,1109.9621821413166
2006-08-31,2975.902689378796,1093.3627903265442,1111.4376675379026
2006-09-01,2991.4864885649877,1098.4679146792041,1115.474360716471
2006-09-05,2987.147172478959,1105.4368144636974,1113.0589013616554
2006-09-06,2964.1750592260796,1084.5294272881147,1105.742747717537
2006-09-07,2955.4956077015377,1081.291493532859,1102.7524468127958
2006-09-08,2971.581079268275,1090.5671013688407,1113.3324724290142
2006-09-11,2972.1979645383544,1096.4603550496977,1112.4537995175924
2006-09-12,3000.0942408573464,1116.248617444653,1123.0056028502004
2006-09-13,3010.9774190865573,1123.4003796095203,1124.766071341146
2006-09-14,3013.1290449654625,1125.2425091705663,1123.7200320760167
2006-09-15,3022.2204206167953,1130.0240685091994,1129.76768220769
2006-09-18,3026.2503460468724,1130.2713983829017,1127.0849437447032
2006-09-19,3015.667104888358,1121.5393381872418,1125.0738411070924
2006-09-20,3032.328288775985,1138.1052316594287,1131.928764828248
2006-09-21,3016.6744460444897,1130.6896688981215,1121.6298897820525
2006-09-22,3010.999217509874,1123.2623037675803,1119.8364501591714
2006-09-25,3034.590551299887,1143.1577859703975,1131.6793329237262
2006-09-26,3063.5034497774905,1150.187605181738,1139.7070642467297
2006-09-27,3065.590881411452,1148.184816826688,1141.1145573574759
2006-09-28,3071.60498226466,1153.976698180093,1146.4464613031014
2006-09-29,3074.187545456516,1150.8018753857323,1143.0145970600279
2006-10-02,3065.9197664260864,1137.565197944641,1141.1044669151306
2006-10-03,3069.5881276712753,1141.3493108972907,1144.9679404291091
2006-10-04,3110.65590718959,1171.324165091035,1156.4574749154563
2006-10-05,3118.9991664760164,1177.883318897133,1162.23800322834
2006-10-06,3107.0026874057658,1172.282212298509,1153.4397945518576
2006-10-09,3108.9379531027225,1176.2809381939587,1156.8126161513646
2006-10-10,3116.3737773895264,1179.5087385177612,1159.3731045722961
2006-10-11,3131.479935240088,1184.3495820345852,1165.7002483213437
2006-10-12,3154.3323257060256,1201.5426024120534,1171.2884043030208
2006-10-13,3147.22946515269,1202.2822152548906,1164.097640070322
2006-10-16,3165.8672383980593,1208.684610639175,1174.7877965524094
2006-10-17,3148.802870506537,1192.6140237203363,1166.3351474730734
2006-10-18,3151.533303453645,1186.3973967462225,1170.4935341587843
2006-10-19,3159.463574913447,1190.3117380589829,1168.425448666967
2006-10-20,3158.7293318115117,1192.6140237203363,1169.6834701647313
2006-10-23,3185.2231467462843,1209.3608587521157,1185.0681215447257
2006-10-24,3194.722364303627,1201.0955253258871,1183.2753103965515
2006-10-25,3206.5753450174816,1209.723944225916,1184.5273024900089
2006-10-26,3214.1287715756334,1219.927250950277,1191.7006795602356
2006-10-27,3191.0999930947437,1201.4657851925294,1182.124957594875
2006-10-30,3194.058892513829,1211.149902987352,1183.406697472441
2006-10-31,3187.6545578478836,1211.743075629929,1180.3104385375045
2006-11-01,3157.7622213859577,1192.075051644948,1169.6012119251245
2006-11-02,3141.932875014725,1187.9225760690751,1163.752179170493
2006-11-03,3125.2151574764284,1180.5819671824574,1157.6021891899436
2006-11-06,3163.8228962605353,1199.030514119746,1170.1337639754347
2006-11-07,3163.3386675000947,1202.404173931529,1168.5706205284805
2006-11-08,3174.6299999150215,1209.7122973261285,1172.4192602107069
2006-11-09,3164.1921019721776,1206.47155188139,1163.666566014901
2006-11-10,3150.665583638678,1206.3990201099223,1160.6122250367334
2006-11-13,3154.5587178583082,1217.2471165738389,1160.0764932889579
2006-11-14,3181.1457504043065,1231.2560138816189,1170.3937545792578
2006-11-15,3195.226790194254,1238.2256454636954,1176.4085053195304
2006-11-16,3209.2004737195093,1245.7950781547988,1182.9447973754723
2006-11-17,3214.998034373275,1247.69008288451,1183.6379665436107
2006-11-20,3218.2960548705014,1250.7948241117992,1182.6257888100954
2006-11-21,3214.655868027272,1249.8231267652882,1180.9967343570897
2006-11-22,3215.176102564612,1255.4008241900883,1181.267835619743
2006-11-24,3193.874478896847,1249.9078161012148,1174.9055910130264
2006-11-27,3154.7680840774556,1223.5011891186587,1160.1718231522245
2006-11-28,3163.1245885753306,1225.086052657658,1160.644825493233
2006-11-29,3177.065749372443,1226.1307011583995,1162.4752664549887
2006-11-30,3160.830616872787,1218.514096554296,1157.1282501648093
2006-12-01,3152.8823479862185,1207.6270189647912,1148.2903955785441
2006-12-04,3183.819253945956,1226.8730787146778,1168.645550642861
2006-12-05,3190.162789299211,1228.4578020121262,1170.7227838266408
2006-12-06,3184.9999369760044,1223.0863469189062,1171.9896959041507
2006-12-07,3176.472173572256,1209.6682502117765,1169.6331593971263
2006-12-08,3184.7808161155554,1216.1429825453524,1170.972989752845
2006-12-11,3202.3025084459805,1223.7417660215142,1172.2635680090898
2006-12-12,3200.3102113578934,1216.7074213921442,1172.4441548075702
2006-12-13,3208.039342612028,1220.5819737445563,1175.7827094418462
2006-12-14,3241.9785381198744,1236.375546810741,1186.386938728101
2006-12-15,3243.270429012249,1239.9369986265083,1188.7227728783037
2006-12-18,3235.3760445060907,1228.0343550768011,1186.0195810916339
2006-12-19,3254.9581476761377,1229.1966775910987,1192.9138541943685
2006-12-20,3248.1577261672646,1222.8402578931127,1189.552502704173
2006-12-21,3231.322156906128,1212.3057918548584,1183.7821898460388
2006-12-22,3207.041980015696,1198.0756782959215,1177.9888364992803
2006-12-26,3230.903101595206,1204.9451660526538,1185.5295287441259
2006-12-27,3256.6114149728674,1212.7643114158855,1194.229316388155
2006-12-28,3250.751956155844,1207.256230056737,1191.9444869169092
2006-12-29,3226.8653421832714,1204.4940172033967,1184.373121907527
2007-01-03,3203.668617935851,1200.1705572843784,1181.4417756395414
2007-01-04,3224.5366278912406,1228.2901238410268,1187.7187482740846
2007-01-05,3210.1187728440855,1226.7552383329166,1183.308906748789
2007-01-08,3225.4595004976727,1227.781940368266,1187.0219644791505
2007-01-09,3226.6656196466647,1235.4487109079491,1190.2427890349645
2007-01-10,3240.3854431081563,1251.1633564390359,1192.661580712942
2007-01-11,3259.0536928747315,1265.7995828369167,1203.38273579604
2007-01-12,3279.803704826336,1270.7050790301582,1204.1265151310654
2007-01-16,3279.392581190885,1272.191633006034,1208.3277032171172
2007-01-17,3280.7686736881733,1261.7959911579965,1210.100307546003
2007-01-18,3271.752483463206,1239.2309256718727,1210.395238684141
2007-01-19,3279.1794674077537,1242.139495205076,1211.207202334539
2007-01-22,3282.517957927834,1233.6933505515044,1209.7286364665779
2007-01-23,3294.1990154614905,1231.3341596710961,1213.1371961004334
2007-01-24,3320.7275404274696,1251.677116228093,1219.3782545655267
