,A_持有0050,B_動能Top5,C_動能+濾網,D_0050均線,C_週一開盤成交,C_最差成交
2021-01-15,136428.09630566428,180573.01506292442,180573.01506292442,136428.09630566428,175105.5121793932,150259.75237602406
2021-01-18,136326.67116528342,180727.28184949973,180727.28184949973,136326.67116528342,174550.5871008007,147510.49461503603
2021-01-19,139927.30919628928,178341.71168195823,178341.71168195823,139927.30919628928,172164.61133175774,145562.17071099856
2021-01-20,140180.86293774436,173005.96453725913,173005.96453725913,140180.86293774436,166996.28537159844,141234.3894257126
2021-01-21,145049.34255200217,177499.54775297263,177499.54775297263,145049.34255200217,171365.33716565056,144906.00858445742
2021-01-22,142458.42850476096,181946.37017270675,181946.37017270675,142458.42850476096,175880.25975018425,148624.32062192538
2021-01-25,140541.1526563723,183415.7661726152,183415.7661726152,140541.1526563723,176144.92471422872,148198.93210431316
2021-01-26,137691.13718396018,174960.72102567306,174960.72102567306,137691.13718396018,167989.586609027,141324.70492478588
2021-01-27,137898.41468029807,172389.87619992843,172389.87619992843,137898.41468029807,165530.223661563,139262.4506466029
2021-01-28,135100.2140272219,168324.85233136764,168324.85233136764,135100.2140272219,161553.0263854476,135869.63252660015
2021-01-29,132872.01282482932,162785.98771171222,162785.98771171222,132872.01282482932,156378.7753640624,131497.51478120068
2021-02-01,135514.7599104006,162366.36868934284,162366.36868934284,135514.7599104006,156599.7182504326,130469.53641275321
2021-02-02,139349.3298261721,171112.23961906086,171112.23961906086,139349.3298261721,165017.4353410393,137506.05814317617
2021-02-03,139245.68196850608,170832.2913234676,170832.2913234676,139245.68196850608,164745.56485382616,137290.87364152822
2021-02-04,138416.6084211428,171517.6435249294,171517.6435249294,138416.6084211428,165413.23719421923,137845.59827665242
2021-02-05,139712.06999951194,170588.25998721598,170588.25998721598,139712.06999951194,164666.49440399706,137206.7588982955
2021-02-17,145671.20236950705,185493.58135829447,185493.58135829447,145671.20236950705,175761.29472385487,146250.6353716073
2021-02-18,145463.88843518088,189502.9116843748,189502.9116843748,145463.88843518088,179612.75806079945,149388.6694845376
2021-02-19,143909.3709791262,186846.1609181599,186846.1609181599,143909.3709791262,177167.17773853382,147317.38782827233
2021-02-22,143857.53794079612,193074.48988811535,193074.48988811535,143857.53794079612,183393.13101564685,152195.86470282543
2021-02-23,143546.62169628928,191888.41748516125,191888.41748516125,143546.62169628928,182271.94634615222,151249.10724127758
2021-02-24,141422.05924206565,186187.10238544506,186187.10238544506,141422.05924206565,176823.94017015735,146740.40044463146
2021-02-25,142562.07636242697,189244.71531765026,189244.71531765026,142562.07636242697,179696.53890596668,149131.715628271
2021-02-26,138261.1275251467,186494.33100727535,186494.33100727535,138261.1275251467,177136.39802252094,147022.22692549694
2021-03-02,138312.94234448264,182490.91986683346,182490.91986683346,138312.94234448264,173078.39946893856,142074.67668036016
2021-03-03,140333.8751600344,185631.99886158443,185631.99886158443,140333.8751600344,176066.04531625911,144510.64897802862
2021-03-04,137587.49843579123,179875.71717289425,179875.71717289425,137587.49843579123,170607.67332224056,140022.68713739904
2021-03-05,136758.38845043967,177422.8562923066,177422.8562923066,136758.38845043967,168445.74487070247,138239.72961691412
2021-03-08,136654.77703076194,177139.9802489869,177139.9802489869,136654.77703076194,168195.92945467404,136791.1338200586
2021-03-09,136136.57418042014,178420.84968525093,178420.84968525093,136136.57418042014,169408.1064299243,137757.07102060487
2021-03-10,136706.610069092,178724.8386026017,178724.8386026017,136706.610069092,169696.2802389758,137983.09307623078
2021-03-11,139608.40392285178,182750.2883782975,182750.2883782975,139608.40392285178,173524.80893694333,141112.46211004426
2021-03-12,140178.4215925295,185983.78378363402,185983.78378363402,140178.4215925295,176768.50648104123,143736.28698206117
2021-03-15,139815.69052868674,189630.9857880667,189630.9857880667,139815.69052868674,179906.10517775765,145509.05539031353
2021-03-16,140282.0785596926,189291.73247786314,189291.73247786314,140282.0785596926,179619.61780345193,145328.42386908855
2021-03-17,139090.2284010012,191491.20351954253,191491.20351954253,139090.2284010012,181684.0826367115,146957.8694734129
2021-03-18,139815.69052868674,195858.74684878142,195858.74684878142,139815.69052868674,185832.14212119332,150326.11467452373
2021-03-19,137639.3314741213,194549.361913426,194549.361913426,137639.3314741213,184751.9592894291,149426.37989325848
2021-03-22,138261.1275251467,203424.69614194162,203424.69614194162,138261.1275251467,192579.29035795253,155283.04117366933
2021-03-23,138468.4050214846,197571.9944207502,197571.9944207502,138468.4050214846,187257.1985915951,150996.0438859191
2021-03-24,136292.04596691916,197721.75859616525,197721.75859616525,136292.04596691916,187326.73116910976,151056.92957088613
2021-03-25,136758.38845043967,193366.63614438302,193366.63614438302,136758.38845043967,183302.3197082333,147825.54347965383
2021-03-26,139245.68196850608,196579.87125826487,196579.87125826487,139245.68196850608,186418.57644498866,150349.05233547353
2021-03-29,140385.68997937033,200268.76495028147,200268.76495028147,140385.68997937033,189292.814394098,151820.74505310153
2021-03-30,140852.05979138205,203059.15326357493,203059.15326357493,140852.05979138205,191915.1260777528,153924.27337341403
2021-03-31,139660.23696118186,202155.785419947,202155.785419947,139660.23696118186,191035.60479174205,153186.8074577341
2021-04-01,140696.58800488303,203566.63940324745,203566.63940324745,140696.58800488303,192543.0927220399,154374.19450073337
2021-04-07,142821.1686781008,215142.80864801368,215142.80864801368,142821.1686781008,203336.25484790036,160848.436958055
2021-04-08,143287.53849011252,217777.7053917881,217777.7053917881,143287.53849011252,205864.23899401852,162863.63806126546
2021-04-09,142976.61313610862,211090.62326784612,211090.62326784612,142976.61313610862,199873.2686036987,158221.22898838948
2021-04-12,142147.51226025412,213455.05670519354,213455.05670519354,142147.51226025412,204172.13024152158,160443.062046598
2021-04-13,142147.51226025412,212460.35086222173,212460.35086222173,142147.51226025412,203272.44459546445,159739.51244408946
2021-04-14,142924.7892072756,212026.64208956243,212026.64208956243,142924.7892072756,202841.7409898126,159392.49692971568
2021-04-15,144116.65758496115,213789.381730752,213789.381730752,144116.65758496115,204501.67741406796,160693.606010984
2021-04-16,144323.89864331076,220684.48915076724,220684.48915076724,144323.89864331076,211577.2257844293,166237.21070153575
2021-04-19,144583.00917797873,229813.85675406925,229813.85675406925,144583.00917797873,218808.6972938443,165414.57712090053
2021-04-20,144323.89864331076,231648.94923758975,231648.94923758975,144323.89864331076,220472.40823325166,166605.97842705288
2021-04-21,143028.43706494162,239494.08192801944,239494.08192801944,143028.43706494162,227816.77652319917,171991.0630828146
2021-04-22,142924.7892072756,233904.637805705,233904.637805705,142924.7892072756,222489.91045149812,167989.88418114223
2021-04-23,144220.25989514182,234650.787719632,234650.787719632,144220.25989514182,223399.65468367585,168807.6002665762
2021-04-26,146344.8041303713,249074.29584493718,249074.29584493718,146344.8041303713,237219.84880406284,179006.40105041984
2021-04-27,146396.64627819846,253015.55590047917,253015.55590047917,146396.64627819846,240857.97222096348,181709.8725050402
2021-04-28,145515.7123640139,254030.8143614777,254030.8143614777,145515.7123640139,241758.73747975254,182382.70937332633
2021-04-29,145722.98986035178,261878.07365841346,261878.07365841346,145722.98986035178,249428.33607441807,188133.8613356066
