Date,SPY_USD
2005-06-01,81.62890625
2005-06-02,81.8050537109375
2005-06-03,81.39183807373047
2005-06-06,81.31732177734375
2005-06-07,81.37826538085938
2005-06-08,81.22926330566406
2005-06-09,81.6153793334961
2005-06-10,81.42572784423828
2005-06-13,81.68314361572266
2005-06-14,81.87281036376953
2005-06-15,82.02861022949219
2005-06-16,82.23861694335938
2005-06-17,82.54334259033203
2005-06-20,82.57052612304688
2005-06-21,82.61812591552734
2005-06-22,82.6861572265625
2005-06-23,81.52310180664062
2005-06-24,80.92453002929688
2005-06-27,81.0401840209961
2005-06-28,81.72035217285156
2005-06-29,81.50267791748047
2005-06-30,81.06058502197266
2005-07-01,81.2986068725586
2005-07-05,81.95159149169922
2005-07-06,81.26465606689453
2005-07-07,81.58430480957031
2005-07-08,82.5160903930664
2005-07-11,82.93780517578125
2005-07-12,83.15546417236328
2005-07-13,83.27107238769531
2005-07-14,83.5975570678711
2005-07-15,83.5499496459961
2005-07-18,83.2166748046875
2005-07-19,83.67236328125
2005-07-20,83.95803833007812
2005-07-21,83.46831512451172
2005-07-22,84.02606201171875
2005-07-25,83.7879867553711
2005-07-26,83.8900375366211
2005-07-27,84.196044921875
2005-07-28,84.72660064697266
2005-07-29,84.16207885742188
2005-08-01,84.10086822509766
2005-08-02,84.60417175292969
2005-08-03,84.82862854003906
2005-08-04,84.14846801757812
2005-08-05,83.57715606689453
2005-08-08,83.42073059082031
2005-08-09,83.9240493774414
2005-08-10,83.88325500488281
2005-08-11,84.21649932861328
2005-08-12,83.69956970214844
2005-08-15,84.21649932861328
2005-08-16,83.1214599609375
2005-08-17,83.11463928222656
2005-08-18,83.10782623291016
2005-08-19,83.29827117919922
2005-08-22,83.29827117919922
2005-08-23,83.14183807373047
2005-08-24,82.40049743652344
2005-08-25,82.69974517822266
2005-08-26,82.1352310180664
2005-08-29,82.76779174804688
2005-08-30,82.33243560791016
2005-08-31,83.37313079833984
2005-09-01,83.31188201904297
2005-09-02,83.1622543334961
2005-09-06,84.13487243652344
2005-09-07,84.27774047851562
2005-09-08,83.99883270263672
2005-09-09,84.74700164794922
2005-09-12,84.57695007324219
2005-09-13,84.10767364501953
2005-09-14,83.80157470703125
2005-09-15,83.76078033447266
2005-09-16,84.35639953613281
2005-09-19,84.07634735107422
2005-09-20,83.36598205566406
2005-09-21,82.58731079101562
2005-09-22,82.88101959228516
2005-09-23,82.94931030273438
2005-09-26,83.0449447631836
2005-09-27,83.02445220947266
2005-09-28,83.10643005371094
2005-09-29,83.78265380859375
2005-09-30,84.04219818115234
2005-10-03,83.7416763305664
2005-10-04,82.79904174804688
2005-10-05,81.7130126953125
2005-10-06,81.41930389404297
2005-10-07,81.69935607910156
2005-10-10,81.00951385498047
2005-10-11,80.89332580566406
2005-10-12,80.25811767578125
2005-10-13,80.2103271484375
2005-10-14,81.05731201171875
2005-10-17,81.35781860351562
2005-10-18,80.4767074584961
2005-10-19,81.81547546386719
2005-10-20,80.37425231933594
2005-10-21,80.68844604492188
2005-10-24,81.93842315673828
2005-10-25,81.77450561523438
2005-10-26,81.53543853759766
2005-10-27,80.66795349121094
2005-10-28,81.82911682128906
2005-10-31,82.05452728271484
2005-11-01,82.3004379272461
2005-11-02,83.16109466552734
2005-11-03,83.5162582397461
2005-11-04,83.40697479248047
2005-11-07,83.48894500732422
2005-11-08,83.48894500732422
2005-11-09,83.59822845458984
2005-11-10,84.24713897705078
2005-11-11,84.53400421142578
2005-11-14,84.4862060546875
2005-11-15,84.17877960205078
2005-11-16,84.34956359863281
2005-11-17,85.13509368896484
2005-11-18,85.46977233886719
2005-11-21,85.90009307861328
2005-11-22,86.26895904541016
2005-11-23,86.76758575439453
2005-11-25,86.83586883544922
2005-11-28,86.22111511230469
2005-11-29,86.12551879882812
2005-11-30,85.6610336303711
2005-12-01,86.53530883789062
2005-12-02,86.64462280273438
2005-12-05,86.460205078125
2005-12-06,86.62413787841797
2005-12-07,86.11869049072266
2005-12-08,86.06402587890625
2005-12-09,86.28941345214844
2005-12-12,86.37142181396484
2005-12-13,86.9588394165039
2005-12-14,87.30036926269531
2005-12-15,87.04763793945312
2005-12-16,86.76744079589844
2005-12-19,86.32115936279297
2005-12-20,86.40351867675781
