Date,1101.TW,1216.TW,1301.TW,2002.TW,2207.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2376.TW,2382.TW,2412.TW,2454.TW,2603.TW,2609.TW,2881.TW,2882.TW,2886.TW,2891.TW,2912.TW,3008.TW,3231.TW,3711.TW,^TWII
2006-06-01,6.644200801849365,7.18178129196167,16.400785446166992,10.114191055297852,33.1849365234375,11.327872276306152,39.036128997802734,36.9029426574707,4.3636474609375,29.514169692993164,8.291390419006348,66.72242736816406,7.995977878570557,14.805171012878418,27.690536499023438,122.23155975341797,11.183130264282227,12.616798400878906,,25.591278076171875,7.607947826385498,6.459506034851074,30.032278060913086,338.4428405761719,7.418266296386719,18.569137573242188,6872.80810546875
2006-06-02,6.592991352081299,7.365927219390869,16.587743759155273,10.147027969360352,32.956077575683594,11.497791290283203,41.29657745361328,38.379058837890625,4.380529403686523,30.042932510375977,8.291390419006348,66.2851791381836,7.870553970336914,15.257468223571777,27.690536499023438,123.55121612548828,11.543046951293945,12.74296760559082,,26.398691177368164,7.759771347045898,6.734123706817627,30.69573402404785,341.44085693359375,7.475771427154541,19.326488494873047,6959.6083984375
2006-06-05,6.434647083282471,7.319890975952148,16.34980010986328,9.96641731262207,32.681434631347656,11.10131549835205,40.51411437988281,36.9029426574707,4.186401844024658,29.033489227294922,7.7223734855651855,63.83665466308594,7.337486267089844,15.016241073608398,27.462440490722656,118.43761444091797,11.157422065734863,12.427549362182617,,25.20512580871582,7.624819278717041,6.495325088500977,30.297658920288086,318.4745178222656,7.092400074005127,18.23253631591797,6715.23876953125
2006-06-06,6.368987083435059,7.289200305938721,16.67271614074707,10.04851245880127,32.81875228881836,11.044675827026367,39.99247360229492,37.45649337768555,4.042916297912598,29.225759506225586,7.5191545486450195,63.83665466308594,7.2277374267578125,15.07654857635498,27.27996253967285,123.55121612548828,11.311670303344727,12.427549362182617,,25.661489486694336,7.692293643951416,6.387866020202637,30.209199905395508,329.4598693847656,6.996554851531982,18.26058578491211,6730.23876953125
2006-06-07,6.2245354652404785,7.289200305938721,16.383790969848633,10.015674591064453,32.727203369140625,10.81811809539795,39.81859588623047,36.9029426574707,3.933192253112793,28.889278411865234,7.01110315322876,61.912803649902344,7.1179890632629395,14.684561729431152,27.553674697875977,115.79834747314453,11.183130264282227,12.396005630493164,,25.099817276000977,7.641687393188477,6.292346477508545,29.94382667541504,319.4757080078125,6.996554851531982,17.952035903930664,6612.7099609375
2006-06-08,5.791183948516846,7.273853302001953,15.958909034729004,9.851485252380371,32.26948928833008,10.648198127746582,37.297332763671875,35.51907730102539,3.6631009578704834,26.87039566040039,6.523374557495117,60.33876037597656,6.631958484649658,13.870424270629883,27.006250381469727,107.88050842285156,10.848921775817871,11.891332626342773,,24.151992797851562,7.321174621582031,5.9938483238220215,30.032278060913086,297.5106506347656,6.507754802703857,16.717836380004883,6331.7802734375
2006-06-09,5.856842041015625,7.672841548919678,15.958909034729004,9.900740623474121,31.81175994873047,10.874757766723633,39.25347137451172,35.51907730102539,3.7559449672698975,28.120180130004883,6.503052711486816,59.90152359008789,6.569245338439941,14.006115913391113,27.508052825927734,109.8599624633789,11.157422065734863,12.080586433410645,,24.713665008544922,7.338043689727783,6.041609287261963,30.518815994262695,302.00482177734375,6.699441909790039,17.194686889648438,6444.60009765625
2006-06-12,5.7517876625061035,7.933719158172607,15.839934349060059,9.98283576965332,31.674442291259766,10.81811809539795,38.905723571777344,35.70359420776367,3.6631009578704834,27.639490127563477,6.157577037811279,62.1751594543457,6.490853786468506,14.202110290527344,27.416818618774414,108.21043395996094,10.900337219238281,11.9859619140625,,24.397722244262695,7.793509006500244,6.041609287261963,31.093807220458984,309.49151611328125,6.61318302154541,16.605634689331055,6442.8701171875
2006-06-13,5.581070423126221,8.025792121887207,15.635984420776367,9.851485252380371,31.354042053222656,10.33668327331543,39.51430892944336,35.79585266113281,3.5955793857574463,27.014598846435547,6.1778998374938965,62.08770751953125,6.271355628967285,13.960883140563965,27.371196746826172,101.61219024658203,10.900337219238281,11.922876358032227,,24.04667854309082,7.338043689727783,5.850569248199463,30.297658920288086,312.4840393066406,6.325653076171875,16.044633865356445,6337.18017578125
2006-06-14,5.725522518157959,8.087177276611328,15.669977188110352,9.835064888000488,31.582895278930664,10.506603240966797,40.86187744140625,36.164878845214844,3.7221832275390625,27.92790985107422,6.482730388641357,65.3232650756836,6.3497490882873535,14.202110290527344,27.27996253967285,99.79769897460938,11.414505004882812,12.396005630493164,,24.5732421875,7.675426006317139,6.14906644821167,30.65150260925293,322.4682312011719,6.421496391296387,16.212934494018555,6468.97998046875
2006-06-15,5.725522518157959,7.979755401611328,15.703969955444336,9.851485252380371,32.31526184082031,10.478282928466797,40.340232849121094,37.08745574951172,3.7728261947631836,27.303014755249023,6.36079740524292,64.44879913330078,6.271355628967285,14.563949584960938,27.006250381469727,99.63275909423828,11.26025676727295,12.238295555114746,,24.50303077697754,7.675426006317139,6.3281660079956055,29.94382667541504,319.4757080078125,6.325653076171875,15.988530158996582,6426.3603515625
