Date,SPY,EFA,AGG
2006-05-16,2835.117348009866,1184.8199309781776,1661.289023009238
2006-05-17,2760.9809826943965,1138.7124429354299,1644.5166207259826
2006-05-18,2771.3268889831525,1145.2879301332941,1665.9999689694741
2006-05-19,2799.5432515126304,1154.6191372972971,1670.8388819087413
2006-05-22,2794.69913134526,1135.9758120150073,1681.116394085053
2006-05-23,2760.4856916140416,1131.0241219278978,1668.6742871866518
2006-05-24,2787.322700610617,1132.2669517892646,1671.8833334997762
2006-05-25,2828.8301191329956,1150.3924951553345,1675.8860697746277
2006-05-26,2834.907076025498,1156.3191094154317,1678.144055566634
2006-05-30,2793.6001017355593,1142.4832593225437,1679.8286465049314
2006-05-31,2816.04615437999,1147.3449627013615,1670.8505125759839
2006-06-01,2848.757800680003,1157.053080298967,1672.9195158143993
2006-06-02,2843.1725395666,1163.5669208480613,1678.9580330543467
2006-06-05,2811.8154732408584,1142.462017552316,1679.511592052586
2006-06-06,2802.0734074772045,1127.4265646920685,1682.2359368420439
2006-06-07,2798.2607917785645,1118.8566570281982,1687.2866506576538
2006-06-08,2821.8230875458103,1104.3200384697848,1708.721860317004
2006-06-09,2803.341120644269,1099.3448803715437,1705.3745541181852
2006-06-12,2781.646060505009,1093.3611166277842,1705.5191295788973
2006-06-13,2760.5767467606347,1063.4888097400835,1717.378934051958
2006-06-14,2774.738451864745,1076.0638863782078,1706.4687452868238
2006-06-15,2828.386502750218,1111.1205159752863,1700.5448248352623
2006-06-16,2808.640109845088,1102.555811279075,1700.0236389869242
2006-06-19,2790.8402571311744,1098.7198939458322,1698.1066672294837
2006-06-20,2800.5746324888023,1105.422035568059,1699.3086568001017
2006-06-21,2824.0230123940855,1120.759442027862,1701.4487060168176
2006-06-22,2812.3728976454004,1115.174595785793,1694.5934529488295
2006-06-23,2818.1248233438237,1114.4124825319159,1699.2062706514844
2006-06-26,2836.6407244474976,1125.5885776983632,1697.9388454336731
2006-06-27,2801.7471237602876,1100.6988977409492,1696.3808954649721
